kg_name;kg_id;analysis_date;Availability_sparqlEndpoint;Availability_RDFDumpM;Availability_RDFDumpQ;Availability_inactiveLinks;Availability_uriDef;Availability_voidAvailability;Licensing_licenseMetadata;Licensing_licenseQuery;Licensing_licenseHR;Interlinking_degreeConnection;Interlinking_clustering;Interlinking_centrality;Interlinking_sameAs;Security_useHTTPS;Security_requiresAuth;Performance_minLatency;Performance_maxLantency;Performance_averageLatency;Performance_sDLatency;Performance_minThroughput;Performance_maxThrougput;Performance_averageThroughput;Performance_sDThroughput;Performance_percentile25L;Performance_percentile75L;Performance_medianL;Performance_percentile25T;Performance_percentile75T;Performance_medianT;Accuracy_emptyAnn;Accuracy_wSA;Accuracy_malformedDataType;Accuracy_FPvalue;Accuracy_IFPvalue;Consistency_deprecated;Consistency_disjointClasses;Consistency_triplesMP;Consistency_triplesMC;Consistency_oHijacking;Consistency_undefinedClass;Consistency_undefinedProperties;Conciseness_exC;Conciseness_intC;Reputation_pageRank;Believability_title;Believability_description;Believability_URI;Believability_reliableProvider;Believability_trustValue;Verifiability_vocabularies;Verifiability_authorQ;Verifiability_authorM;Verifiability_contributor;Verifiability_publisher;Verifiability_sources;Verifiability_sign;Currency_creationDate;Currency_modificationDate;Currency_percentageUpData;Currency_timePassed;Volatility_frequency;Completeness_numTriples;Completeness_numTriplesL;Completeness_interlinkingC;Representational-conciseness_urisLenghtSA;Representational-conciseness_urisLenghtSSd;Representational-conciseness_urisLenghtOA;Representational-conciseness_urisLenghtOSd;Representational-conciseness_urisLenghtPA;Representational-conciseness_urisLenghtPSd;Representational-conciseness_minLengthS;Representational-conciseness_percentile25LengthS;Representational-conciseness_medianLengthS;Representational-conciseness_percentile75LengthS;Representational-conciseness_maxLengthS;Representational-conciseness_minLengthO;Representational-conciseness_percentile25LengthO;Representational-conciseness_medianLengthO;Representational-conciseness_percentile75LengthO;Representational-conciseness_maxLengthO;Representational-conciseness_minLengthP;Representational-conciseness_percentile25LengthP;Representational-conciseness_medianLengthP;Representational-conciseness_percentile75LengthP;Representational-conciseness_maxLengthP;Representational-conciseness_RDFStructures;Understandability_numLabel;Understandability_percentageLabel;Understandability_regexUri;Understandability_vocabularies;Understandability_example;Interpretability_numBN;Interpretability_RDFStructures;Versatility_languagesQ;Versatility_languagesM;Versatility_serializationFormats;Versatility_sparqlEndpoint;Versatility_availabilityDownloadQ;Versatility_availabilityDownloadM;totalScore;normalizedScore;availabilityScoreValue;licensingScoreValue;interlinkingScoreValue;performanceScoreValue;accuracyScoreValue;consistencyScoreValue;concisenessScoreValue;verifiabilityScoreValue;reputationScoreValue;believabilityScoreValue;currencyScoreValue;volatilityScoreValue;completenessScoreValue;amountScoreValue;repConsScoreValue;repConcScoreValue;understScoreValue;interpretabilityScoreValue;versatilityScoreValue;securityScoreValue
Czech statistical classification of economic activities in the European Community (CZ-NACE);cznace;2024-01-07;Available;-1;True;True;0.1008;VoID file available;Other (Open) - other-open -;https://creativecommons.org/licenses/by/4.0/;True;[];{};;5345991;False;False;0,121;0,161;0,144;0,013;8;8;8,0;0,0;0,141;0,150;0,146;8,0;8,0;8,0;1.0;0.9959109182183644;1.0;1.0;1.0;0.966124563739071;2.339864340395824e-05;1.0;1.0;True;1.0;0.9999981999241657;0.676509 (out of 1000000 triples considered);0.9947289156626506 (out of 1328 triples considered);None;Czech statistical classification of economic activities in the European Community (CZ-NACE);Czech statistical classification of economic activities in the European Community (CZ-NACE);https://linked.opendata.cz/zdroje/datové-sady/čsú/číselníky/cz-nace;True;1,0;17;;Name: Jakub Klímek, Email:klimek@opendata.cz;4;[];Web:https://linked.opendata.cz/zdroje/datové-sady/čsú/číselníky/cz-nace Name:Český statistický úřad Email:klimek@opendata.cz;False;665565;2023-06-01;6.33299407140442e-05%;221;True;611085366;0;0.00;88,064294 (out of 1000000 triples considered);39,30239397646873;67,24027002403771 (out of 999998 triples considered);42,107956143658164;55,650837988826815 (out of 1432 triples considered);14,875493959086702;15;60,0;90,0;91,0;216;8;16,0;99,0;103,0;254;21;45,0;56,0;67,0;111;True;27446003;4.49%;True;17;True;5793828;True;-;{};True;https://linked.opendata.cz/sparql;True;-1;0.763;76.349;0.5248;1.0;0.0021870884566396243;1.0;0.4;0.5912506769222187;0.8356189578313253;0.665;0.0;0.5;0.5;1.0;0.0;0.6666666666666666;0.15964523281596454;0.5005119231098836;4.7612283833515985;0.9961506997249654;0.6666666666666666;0.5
Czech statistical classification of economic activities in the European Community (CZ-NACE);cznace;2024-01-14;Available;-1;True;True;0.1006;VoID file available;Other (Open) - other-open -;https://creativecommons.org/licenses/by/4.0/;True;[];{};;5345991;False;False;0,108;0,190;0,141;0,026;7;9;7,6;0,66332495807108;0,136;0,137;0,136;7,0;8,0;7,5;1.0;0.9959109182183644;1.0;1.0;1.0;0.966124563739071;2.339864340395824e-05;1.0;1.0;True;1.0;0.9999981999241657;0.676509 (out of 1000000 triples considered);0.9947289156626506 (out of 1328 triples considered);None;Czech statistical classification of economic activities in the European Community (CZ-NACE);Czech statistical classification of economic activities in the European Community (CZ-NACE);https://linked.opendata.cz/zdroje/datové-sady/čsú/číselníky/cz-nace;True;1,0;17;;Name: Jakub Klímek, Email:klimek@opendata.cz;4;[];Web:https://linked.opendata.cz/zdroje/datové-sady/čsú/číselníky/cz-nace Name:Český statistický úřad Email:klimek@opendata.cz;False;665572;2023-06-01;6.33299407140442e-05%;228;True;611085366;0;0.00;88,064294 (out of 1000000 triples considered);39,30239397646873;67,24027002403771 (out of 999998 triples considered);42,107956143658164;55,650837988826815 (out of 1432 triples considered);14,875493959086702;15;60,0;90,0;91,0;216;8;16,0;99,0;103,0;254;21;45,0;56,0;67,0;111;True;27446003;4.49%;True;17;True;5793828;True;-;{};True;https://linked.opendata.cz/sparql;True;-1;0.763;76.349;0.5248;1.0;0.0021870884566396243;1.0;0.4;0.5912506769222187;0.8356189578313253;0.665;0.0;0.5;0.5;1.0;0.0;0.6666666666666666;0.15964523281596454;0.5005119231098836;4.7612283833515985;0.9961506997249654;0.6666666666666666;0.5
Czech statistical classification of economic activities in the European Community (CZ-NACE);cznace;2024-01-21;Available;-1;True;True;0.1;VoID file available;Other (Open) - other-open -;https://creativecommons.org/licenses/by/4.0/;True;[];{};;5345991;False;False;0,109;0,157;0,136;0,021;7;8;7,9;0,3;0,111;0,152;0,151;8,0;8,0;8,0;1.0;0.9959109182183644;1.0;1.0;1.0;0.966124563739071;2.339864340395824e-05;1.0;1.0;True;1.0;0.9999981999241657;0.676509 (out of 1000000 triples considered);0.9947289156626506 (out of 1328 triples considered);None;Czech statistical classification of economic activities in the European Community (CZ-NACE);Czech statistical classification of economic activities in the European Community (CZ-NACE);https://linked.opendata.cz/zdroje/datové-sady/čsú/číselníky/cz-nace;True;1,0;17;;Name: Jakub Klímek, Email:klimek@opendata.cz;4;[];Web:https://linked.opendata.cz/zdroje/datové-sady/čsú/číselníky/cz-nace Name:Český statistický úřad Email:klimek@opendata.cz;False;665579;2023-06-01;6.33299407140442e-05%;235;True;611085366;0;0.00;88,064294 (out of 1000000 triples considered);39,30239397646873;67,24027002403771 (out of 999998 triples considered);42,107956143658164;55,650837988826815 (out of 1432 triples considered);14,875493959086702;15;60,0;90,0;91,0;216;8;16,0;99,0;103,0;254;21;45,0;56,0;67,0;111;True;27446003;4.49%;True;17;True;5793828;True;-;{};True;https://linked.opendata.cz/sparql;True;-1;0.763;76.349;0.5248;1.0;0.0021870884566396243;1.0;0.4;0.5912506769222187;0.8356189578313253;0.665;0.0;0.5;0.5;1.0;0.0;0.6666666666666666;0.15964523281596454;0.5005119231098836;4.7612283833515985;0.9961506997249654;0.6666666666666666;0.5
Czech statistical classification of economic activities in the European Community (CZ-NACE);cznace;2024-01-28;Available;-1;True;True;0.0992;VoID file available;Other (Open) - other-open -;https://creativecommons.org/licenses/by/4.0/;True;[];{};;5345991;False;False;0,111;0,151;0,136;0,014;7;9;7,9;0,5385164807134504;0,134;0,148;0,136;8,0;8,0;8,0;1.0;0.9959109182183644;1.0;1.0;1.0;0.966124563739071;2.339864340395824e-05;1.0;1.0;True;1.0;0.9999981999241657;0.676509 (out of 1000000 triples considered);0.9947289156626506 (out of 1328 triples considered);None;Czech statistical classification of economic activities in the European Community (CZ-NACE);Czech statistical classification of economic activities in the European Community (CZ-NACE);https://linked.opendata.cz/zdroje/datové-sady/čsú/číselníky/cz-nace;True;1,0;17;;Name: Jakub Klímek, Email:klimek@opendata.cz;4;[];Web:https://linked.opendata.cz/zdroje/datové-sady/čsú/číselníky/cz-nace Name:Český statistický úřad Email:klimek@opendata.cz;False;665586;2023-06-01;6.33299407140442e-05%;242;True;611085366;0;0.00;88,064294 (out of 1000000 triples considered);39,30239397646873;67,24027002403771 (out of 999998 triples considered);42,107956143658164;55,650837988826815 (out of 1432 triples considered);14,875493959086702;15;60,0;90,0;91,0;216;8;16,0;99,0;103,0;254;21;45,0;56,0;67,0;111;True;27446003;4.49%;True;17;True;5793828;True;-;{};True;https://linked.opendata.cz/sparql;True;-1;0.763;76.349;0.5248;1.0;0.0021870884566396243;1.0;0.4;0.5912506769222187;0.8356189578313253;0.665;0.0;0.5;0.5;1.0;0.0;0.6666666666666666;0.15964523281596454;0.5005119231098836;4.7612283833515985;0.9961506997249654;0.6666666666666666;0.5
DBpedia in French;dbpediafr;2024-01-07;Available;1;True;False;0.6634;VoID file offline;Creative Commons Attribution Share-Alike - cc-by-sa -;http://creativecommons.org/licenses/by-sa/3.0/;True;6;0,533;0,003;35035799;True;False;0,081;0,140;0,099;0,022;6;13;10,9;1,972308292331602;0,082;0,101;0,092;10,25;12,0;12,0;1.0;0.999952;1.0;1.0;1.0;1.0;-;1.0;1.0;True;1.0;0.9999269834448802;0.977329 (out of 1000000 triples considered);0.9865135209713024 (out of 28992 triples considered);0,0009152178830736873;DBpedia in French;DBpedia in French dataset. Part of the DBpedia internationalisation effort. Data are extracted here from French speaking pages of wikipedia.;http://fr.dbpedia.org;True;1,0;12;4;False;2;21;Web:http://fr.dbpedia.org Name:julien_cojan Email:contact@dbpedia.fr;False;413;2022-12-08;8.346020931169507e-07%;397;[];359452729;1956312;0.01;87,44283944283944 (out of 1000000 triples considered);22,953798450383673;43,670859538784065 (out of 999999 triples considered);14,86827732959211;42,89920250537126 (out of 27461 triples considered);6,456530949833122;29;75,0;85,0;97,0;503;10;35,0;38,0;47,0;101;22;39,0;42,0;46,0;273;True;14915081;4.15%;True;17;True;165390;True;-;{};True;http://fr.dbpedia.org/sparql;True;1;0.619;61.869;0.915;0.5;0.024367459316187303;1.0;0.4;0.4;0.9819212604856512;0.8316666666666667;9.152178830736873e-05;0.5;0.5;0.0;0.01;0.6666666666666666;0.4652605459057072;0.5020666652001691;2.010373464851341;0.9997999034925926;0.6666666666666666;1.0
DBpedia in French;dbpediafr;2024-01-14;Available;1;True;False;0.662;VoID file offline;Creative Commons Attribution Share-Alike - cc-by-sa -;http://creativecommons.org/licenses/by-sa/3.0/;True;6;0,533;0,003;35035799;True;False;0,083;0,145;0,102;0,023;9;13;11,8;1,0770329614269007;0,084;0,106;0,090;12,0;12,0;12,0;1.0;0.999952;1.0;1.0;1.0;1.0;-;1.0;1.0;True;1.0;0.9999269834448802;0.977329 (out of 1000000 triples considered);0.9865135209713024 (out of 28992 triples considered);0,0009152178830736873;DBpedia in French;DBpedia in French dataset. Part of the DBpedia internationalisation effort. Data are extracted here from French speaking pages of wikipedia.;http://fr.dbpedia.org;True;1,0;12;4;False;2;21;Web:http://fr.dbpedia.org Name:julien_cojan Email:contact@dbpedia.fr;False;420;2022-12-08;8.346020931169507e-07%;404;[];359452729;1956312;0.01;87,44283944283944 (out of 1000000 triples considered);22,953798450383673;43,670859538784065 (out of 999999 triples considered);14,86827732959211;42,89920250537126 (out of 27461 triples considered);6,456530949833122;29;75,0;85,0;97,0;503;10;35,0;38,0;47,0;101;22;39,0;42,0;46,0;273;True;14915081;4.15%;True;17;True;165390;True;-;{};True;http://fr.dbpedia.org/sparql;True;1;0.619;61.869;0.915;0.5;0.024367459316187303;1.0;0.4;0.4;0.9819212604856512;0.8316666666666667;9.152178830736873e-05;0.5;0.5;0.0;0.01;0.6666666666666666;0.4652605459057072;0.5020666652001691;2.010373464851341;0.9997999034925926;0.6666666666666666;1.0
DBpedia in French;dbpediafr;2024-01-21;Available;1;True;False;0.6708;VoID file offline;Creative Commons Attribution Share-Alike - cc-by-sa -;http://creativecommons.org/licenses/by-sa/3.0/;True;6;0,533;0,003;35035799;True;False;0,068;0,116;0,090;0,019;9;13;11,8;1,0770329614269007;0,074;0,109;0,084;12,0;12,0;12,0;1.0;0.999952;1.0;1.0;1.0;1.0;-;1.0;1.0;True;1.0;0.9999269834448802;0.977329 (out of 1000000 triples considered);0.9865135209713024 (out of 28992 triples considered);0,0009152178830736873;DBpedia in French;DBpedia in French dataset. Part of the DBpedia internationalisation effort. Data are extracted here from French speaking pages of wikipedia.;http://fr.dbpedia.org;True;1,0;12;4;False;2;21;Web:http://fr.dbpedia.org Name:julien_cojan Email:contact@dbpedia.fr;False;427;2022-12-08;8.346020931169507e-07%;411;[];359452729;1956312;0.01;87,44283944283944 (out of 1000000 triples considered);22,953798450383673;43,670859538784065 (out of 999999 triples considered);14,86827732959211;42,89920250537126 (out of 27461 triples considered);6,456530949833122;29;75,0;85,0;97,0;503;10;35,0;38,0;47,0;101;22;39,0;42,0;46,0;273;True;14915081;4.15%;True;17;True;165390;True;-;{};True;http://fr.dbpedia.org/sparql;True;1;0.619;61.869;0.915;0.5;0.024367459316187303;1.0;0.4;0.4;0.9819212604856512;0.8316666666666667;9.152178830736873e-05;0.5;0.5;0.0;0.01;0.6666666666666666;0.4652605459057072;0.5020666652001691;2.010373464851341;0.9997999034925926;0.6666666666666666;1.0
DBpedia in French;dbpediafr;2024-01-28;Available;1;True;False;0.66;VoID file offline;Creative Commons Attribution Share-Alike - cc-by-sa -;http://creativecommons.org/licenses/by-sa/3.0/;-;6;0,533;0,003;35035799;True;False;0,080;0,173;0,107;0,034;7;13;11,1;1,5132745950421558;0,088;0,099;0,096;11,0;12,0;11,0;1.0;0.999952;1.0;1.0;1.0;1.0;-;1.0;1.0;True;1.0;0.9999269834448802;0.977329 (out of 1000000 triples considered);0.9865135209713024 (out of 28992 triples considered);0,0009152178830736873;DBpedia in French;DBpedia in French dataset. Part of the DBpedia internationalisation effort. Data are extracted here from French speaking pages of wikipedia.;http://fr.dbpedia.org;True;1,0;12;4;False;2;21;Web:http://fr.dbpedia.org Name:julien_cojan Email:contact@dbpedia.fr;False;434;2022-12-08;8.346020931169507e-07%;418;[];359452729;1956312;0.01;87,44283944283944 (out of 1000000 triples considered);22,953798450383673;43,670859538784065 (out of 999999 triples considered);14,86827732959211;42,89920250537126 (out of 27461 triples considered);6,456530949833122;29;75,0;85,0;97,0;503;10;35,0;38,0;47,0;101;22;39,0;42,0;46,0;273;True;14915081;4.15%;True;17;True;165390;True;-;{};True;http://fr.dbpedia.org/sparql;True;1;0.619;61.869;0.915;0.5;0.024367459316187303;1.0;0.4;0.4;0.9819212604856512;0.8316666666666667;9.152178830736873e-05;0.5;0.5;0.0;0.01;0.6666666666666666;0.4652605459057072;0.5020666652001691;2.010373464851341;0.9997999034925926;0.6666666666666666;1.0
EEA Reporting Obligations Database;eearod;2024-01-07;-;-1;http://rod.eionet.europa.eu/obligations/rdf;True;-;VoID file available;Creative Commons Attribution - cc-by -;http://creativecommons.org/licenses/by/2.5/dk/;-;5;0,200;0,003;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,00010617839718159667;EEA Reporting Obligations Database;"ROD is the EEA's reporting obligations database. It contains records describing environmental reporting obligations that countries have towards international organisations.

ROD is part of Reportnet. Reportnet is group of web applications and processes developed by the EEA to support international environmental reporting. 
";http://rod.eionet.europa.eu/;True;1,0;3;44;Name: Søren Roug, Email:soren.roug@eea.europa.eu;absent;5;Web:http://rod.eionet.europa.eu/ Name:Søren Roug Email:soren.roug@eea.europa.eu;-;absent;absent;-;-;absent;28000;0;0.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;True;3;True;-;-;-;{};True;http://cr.eionet.europa.eu/sparql;http://rod.eionet.europa.eu/obligations/rdf;-1;0.192;19.158;0.0;0.5;0.0;0;0.0;0.0;0.0;0.665;1.0617839718159666e-05;0.5;1.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.5;0.0;0.3333333333333333;0.0
EEA Reporting Obligations Database;eearod;2024-01-14;-;-1;http://rod.eionet.europa.eu/obligations/rdf;True;-;VoID file available;Creative Commons Attribution - cc-by -;http://creativecommons.org/licenses/by/2.5/dk/;-;5;0,200;0,003;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0,00010617839718159667;EEA Reporting Obligations Database;"ROD is the EEA's reporting obligations database. It contains records describing environmental reporting obligations that countries have towards international organisations.

ROD is part of Reportnet. Reportnet is group of web applications and processes developed by the EEA to support international environmental reporting. 
";http://rod.eionet.europa.eu/;True;1,0;3;44;Name: Søren Roug, Email:soren.roug@eea.europa.eu;absent;5;Web:http://rod.eionet.europa.eu/ Name:Søren Roug Email:soren.roug@eea.europa.eu;-;absent;absent;-;-;absent;28000;0;0.00;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;True;3;True;-;-;-;{};True;http://cr.eionet.europa.eu/sparql;http://rod.eionet.europa.eu/obligations/rdf;-1;0.192;19.158;0.0;0.5;0.0;0;0.0;0.0;0.0;0.665;1.0617839718159666e-05;0.5;1.0;0.0;0.0;0.3333333333333333;0.0;0.0;0.5;0.0;0.3333333333333333;0.0
