kg_name;kg_id;analysis_date;Reputation_pageRank;Believability_title;Believability_description;Believability_URI;Believability_reliableProvider;Believability_trustValue;Verifiability_vocabularies;Verifiability_authorQ;Verifiability_authorM;Verifiability_contributor;Verifiability_publisher;Verifiability_sources;Verifiability_sign;Currency_creationDate;Currency_modificationDate;Currency_percentageUpData;Currency_timePassed;Volatility_frequency;totalScore;normalizedScore;verifiabilityScoreValue;reputationScoreValue;believabilityScoreValue;currencyScoreValue;volatilityScoreValue
Czech statistical classification of economic activities in the European Community (CZ-NACE);cznace;2024-01-28;None;Czech statistical classification of economic activities in the European Community (CZ-NACE);Czech statistical classification of economic activities in the European Community (CZ-NACE);https://linked.opendata.cz/zdroje/datové-sady/čsú/číselníky/cz-nace;True;1,0;17;;Name: Jakub Klímek, Email:klimek@opendata.cz;5;[];Web:https://linked.opendata.cz/zdroje/datové-sady/čsú/číselníky/cz-nace Name:Český statistický úřad Email:klimek@opendata.cz;False;665586;2023-06-01;6.33299407140442e-05%;242;True;0.13325;13.325000000000001;0.665;0;0.5;0.5;1
DBpedia in French;dbpediafr;2024-01-28;0,0009152178830736873;DBpedia in French;DBpedia in French dataset. Part of the DBpedia internationalisation effort. Data are extracted here from French speaking pages of wikipedia.;http://fr.dbpedia.org;True;1,0;12;4;False;2;21;Web:http://fr.dbpedia.org Name:julien_cojan Email:contact@dbpedia.fr;False;434;2022-12-08;8.346020931169507e-07%;418;[];0.0915879094227487;9.158790942274871;0.8316666666666667;0.00009152178830736873;0.5;0.5;0
EEA Reporting Obligations Database;eearod;2024-01-28;0,00010617839718159667;EEA Reporting Obligations Database;"ROD is the EEA's reporting obligations database. It contains records describing environmental reporting obligations that countries have towards international organisations.

ROD is part of Reportnet. Reportnet is group of web applications and processes developed by the EEA to support international environmental reporting. 
";http://rod.eionet.europa.eu/;True;1,0;3;50;Name: Søren Roug, Email:soren.roug@eea.europa.eu;absent;5;Web:http://rod.eionet.europa.eu/ Name:Søren Roug Email:soren.roug@eea.europa.eu;-;absent;absent;-;-;absent;0.10825053089198591;10.825053089198592;0.665;0.000010617839718159666;0.5;1;0
Institutions of public power of the Czech Republic;czovm;2024-01-28;0,0006104590782257011;Institutions of public power of the Czech Republic;This dataset contains detailed information about every institution of public power in the Czech Republic;https://linked.opendata.cz/zdroj/datová-sada/ovm;True;1,0;17;;Name: Jakub Klímek, Email:klimek@opendata.cz;5;[];Web:https://linked.opendata.cz/zdroj/datová-sada/ovm Name:Ministerstvo vnitra České republiky Email:klimek@opendata.cz;False;665586;2023-06-01;6.33299407140442e-05%;242;True;0.13325305229539114;13.325305229539113;0.665;0.00006104590782257011;0.5;0.5;1
List of Czech data boxes;czlistofdataboxes;2024-01-28;None;List of Czech data boxes;Data box is a verified electronic mailbox mandatory for all companies and voluntary for individuals for communication with the Czech public administration.;https://linked.opendata.cz/zdroj/datová-sada/datové-schránky;True;1,0;17;;Name: Jakub Klímek, Email:klimek@opendata.cz;5;[];Web:https://linked.opendata.cz/zdroj/datová-sada/datové-schránky Name:Ministerstvo vnitra České republiky Email:klimek@opendata.cz;False;665586;2023-06-01;6.33299407140442e-05%;242;True;0.13325;13.325000000000001;0.665;0;0.5;0.5;1
Open Data from the Italian National Research Council;datacnrit;2024-01-28;8,704139344744641e-05;Open Data from the Italian National Research Council;"data.cnr.it is an initiative of the Italian National Research Council aimed to provide public access to the information of the CNR organization.

Keywords are: transparency, interoperability, open data.

The technologies of the data.cnr.it are based on RDF and follows the paradygm of the Linked Data initiative.


Documentation of the ontology is in OWL-Doc format

The CNR ontology can be queried through the SPARQL Endpoint by selecting http://data.cnr.it/ as graph.";http://data.cnr.it/site/;True;1,0;3;258;False;absent;1;Web:http://data.cnr.it/site/ Name:Consiglio Nazionale delle Ricerche (CNR) Email:data@cnr.it;-;absent;absent;-;-;absent;0.10825043520696724;10.825043520696724;0.665;0.000008704139344744641;0.5;1;0
tags2con delicious;tags2condelicious;2024-01-28;8,159340198611645e-05;tags2con delicious;"The tags2con dataset has been manually created by a group of human annotators that linked del.icio.us tags to their real meaning.

A subset of a delicious dump has been used to create the tags2con dataset, a set of 500 user-bookmarks pairs have been selected randomly and all the tags used by these pairs have been manually cleaned and disambiguated to WordNet synsets.

More user-bookmark are being currently annotated.";http://disi.unitn.it/~knowdive/dataset/delicious/;-;0,75;9;402;Name: None, Email:andrews@disi.unitn.it;3;1;"Web:http://disi.unitn.it/~knowdive/dataset/delicious/ Name:Pierre Andrews, Ilya Zaihrayeu, Juan Pane Email:andrews@disi.unitn.it; ilya@disi.unitn.it; pane@disi.unitn.it";-;2010-06-19;absent;-;-;absent;0.11033374130034326;11.033374130034327;0.8316666666666667;0.000008159340198611644;0.375;1;0
TAXREF-LD: Linked Data French Taxonomic Register;taxrefld;2024-01-28;0,0011208209818918528;TAXREF-LD: Linked Data French Taxonomic Register;"TAXREF-LD is the Linked Data representation of TAXREF (https://inpn.mnhn.fr/programme/referentiel-taxonomique-taxref?lg=en), the French national taxonomical register for fauna, flora and fungus, that covers mainland France and overseas territories.

TAXREF-LD is a joint initiative of the National Museum of Natural History (http://www.mnhn.fr/) and the I3S laboratory (http://www.i3s.unice.fr/) (Université Côte d'Azur, CNRS, Inria). Its model is described in [1].

[1] Michel F., Gargominy O., Tercerie S. & Faron-Zucker C. (2017). A Model to Represent Nomenclatural and Taxonomic Information as Linked Data. Application to the French Taxonomic Register, TAXREF. In _Proceedings of the 2nd International Workshop on Semantics for Biodiversity (S4BioDiv) co-located with ISWC 2017_ vol. 1933. Vienna, Austria. CEUR.";https://inpn.mnhn.fr/programme/referentiel-taxonomique-taxref?lg=en;-;0,75;29;401;Name: Franck Michel, Email:franck.michel@inria.fr;2;3;Web:https://inpn.mnhn.fr/programme/referentiel-taxonomique-taxref?lg=en Name:Inventaire National du Patrimoine Naturel (INPN) Email:taxref@mnhn.fr;False;6241;2015-10-06;-;3041;True;0.1353389374382428;13.53389374382428;0.8316666666666667;0.00011208209818918527;0.375;0.5;1
Tourpedia;tourpedia;2024-01-28;None;Tourpedia;"TourPedia is the Wikipedia of Tourism. It contains information about accommodations, restaurants, points of interest and attractions of different places in Europe. At the moment only eight places are covered: Amsterdam, Barcelona, Berlin, Dubai, London, Paris, Rome and Tuscany. However, the idea is to extend the service to all the world.

Data are extracted from four social media: Facebook, Foursquare, Google Places and Booking. They were elaborated and integrated in order to build a unique catalogue.";Absent;-;0,5;4;92;Name: Angelica Lo Duca, Email:angelica.loduca@iit.cnr.it;1;2;Web:Absent Name:Andrea Marchetti Email:andrea.marchetti@iit.cnr.it;-;2015-01-16;2015-01-16;-;-;absent;0.10408333333333333;10.408333333333333;0.8316666666666667;0;0.25;1;0
URIBurner;uriburner;2024-01-28;9,413955424741993e-05;URIBurner;"A service that delivers RDF-based structured descriptions of Web addressable resources in a variety of formats through Generic HTTP URIs.

The underlying technology is Virtuoso's Sponger, which takes an existing Web-accessible resource (webpage, media) and generates an RDF graph of its metadata using existing well-known ontologies as well as site-specific knowledge. URIBurner then re-presents this data as either a new HTML webpage, or directly as RDF in a variety of serializations (RDF/XML, text/n3, turtle, JSON).

### Issues

The linking information is incomplete and the numbers are guesswork.";http://uriburner.com/;-;0,75;57;1229;False;198;140;Web:http://uriburner.com/ Name:OpenLink Software Email:Absent;False;738917;2023-07-10;1.2811605207064775e-07%;207;True;0.13533380403110457;13.533380403110456;0.8316666666666667;0.000009413955424741993;0.375;0.5;1
